epoch,train_loss,val_loss,val_minADE,val_minFDE,lr
1,4.776617512234256,2.9157391120910643,3.0317251770019533,6.19540263671875,9.036562556673418e-05
2,2.7374896896191134,2.740932398223877,2.3497228393554686,4.8480805419921875,0.0002602014917552881
3,2.691807607300261,2.6105832908630373,2.247082415771484,4.562463745117188,0.0004299192071654473
4,2.655499131251604,2.5109310997009278,2.047748583984375,4.486908422851562,0.0004999999956537839
5,2.6309814794450745,2.501467353820801,2.127949548339844,4.636228515625,0.0004990446111017139
6,2.623874572097746,2.5419726623535155,2.0274857604980467,4.417726477050781,0.0004961938542925159
7,2.576218913253556,2.5200097522735594,2.0066752380371096,4.233565100097656,0.0004914694212068421
8,2.542291739048102,2.622016806411743,2.05560732421875,4.402793872070313,0.000484907267633165
9,2.523235510047684,2.5789626411437987,2.0139929443359375,4.296511657714844,0.0004765573355225172
10,2.5120432272426085,2.4762953689575196,1.840689093017578,3.9422631225585936,0.0004664831729000875
11,2.4886258736125426,2.414066109085083,1.8483614135742188,4.037068811035156,0.0004547614502263781
12,2.460851212597301,2.4769004440307616,1.90027060546875,4.109464807128906,0.0004414813768887058
13,2.441386949302804,2.580689192199707,1.834793719482422,4.0000378662109375,0.0004267440222638978
14,2.4320512098124905,2.4976590003967285,1.8298049743652345,3.959693005371094,0.0004106615465193068
15,2.4346822428907084,2.3611478271484376,1.722753253173828,3.7192184692382813,0.00039335634700621356
16,2.4129240385487547,2.3487663722991945,1.6968648010253906,3.7305739624023437,0.00037496012674207785
17,2.3672303358713784,2.3816184661865236,1.728008642578125,3.7314285400390625,0.0003556128920710513
18,2.3688797196771345,2.3881376152038576,1.6866419525146485,3.7193616821289064,0.00033546188713116004
19,2.3590336826621976,2.3567981483459475,1.6493057342529296,3.5910590270996092,0.0003146604732375062
20,2.3487017847533918,2.3367434761047363,1.6421256561279296,3.6445371215820312,0.00029336696171005744
21,2.3384546499985914,2.3650277038574217,1.6069750610351563,3.584605358886719,0.0002717434090289116
22,2.31824897420712,2.3272141708374026,1.5900783142089843,3.536124377441406,0.00024995438348663024
23,2.2925306405776587,2.282876097869873,1.5725696380615235,3.4689480224609377,0.00022816571272416347
24,2.277201720027842,2.2620563369750974,1.5716819152832031,3.507225146484375,0.00020654322168237266
25,2.2593095180315848,2.2461410049438477,1.5106921020507813,3.3779016418457033,0.000185251470574103
26,2.2488167186578116,2.2946762912750245,1.5630184936523437,3.444895751953125,0.00016445250248159926
27,2.2355733460340743,2.271911542892456,1.547360028076172,3.417544793701172,0.00014430461011080565
28,2.2256694703530044,2.2718334144592287,1.4974786590576172,3.353284619140625,0.00012496113108829407
29,2.213250333172643,2.2624563976287844,1.477234423828125,3.2947342529296875,0.00010656928096933752
30,2.1926111917719884,2.303081743621826,1.5146548431396485,3.384645166015625,8.926903283864424e-05
31,2.189699972541923,2.236929817199707,1.4632771636962891,3.2963067810058595,7.31920520306642e-05
32,2.1783977288466234,2.229247191619873,1.4646348327636718,3.2707443786621093,5.846069407689239e-05
33,2.167271866502925,2.2401241889953614,1.4577202880859375,3.2905028076171874,4.5187073506394384e-05
34,2.15019002607745,2.235748426437378,1.4595932159423828,3.2755029541015626,3.3472210586542786e-05
35,2.1446337485924745,2.2128077716827392,1.4378420623779298,3.2391888427734377,2.340526249778525e-05
36,2.146294307504964,2.2117895233154297,1.442941860961914,3.256662609863281,1.5062844793666786e-05
37,2.1351408820885878,2.2122861511230467,1.4363589691162109,3.240410516357422,8.508448310205228e-06
38,2.134953361291152,2.218146910858154,1.439157601928711,3.250318505859375,3.791955962292422e-06
39,2.1314520196527496,2.217769976425171,1.4366111572265625,3.2477280456542967,9.492631045920739e-07
40,2.1313393347793155,2.2173465995788573,1.4360103332519532,3.2457881103515627,2.0043462160715312e-09
