epoch,train_loss,val_loss,val_minADE,val_minFDE,lr
1,2.7513787819515976,2.750404637145996,2.0798506713867186,4.3824655639648435,0.0002600301761880603
2,2.4875355173687717,2.5705935890197753,1.9393366943359376,4.282058435058594,0.0004999999999024292
3,2.4038359350216987,2.333421990585327,1.6132549682617188,3.5863147094726564,0.0004962007404789059
4,2.35071724306894,2.2939722438812256,1.5537230010986327,3.3935250244140627,0.00048492082652401103
5,2.331121269580706,2.2929145256042482,1.5138633850097656,3.323738250732422,0.00046650299251535217
6,2.305660617624414,2.3083495849609377,1.5252070617675781,3.350518817138672,0.00044150685501940856
7,2.282348249327646,2.226750552368164,1.4002557739257813,3.0797204956054687,0.00041069190902533876
8,2.258720357455844,2.1929793365478516,1.3273022247314452,2.880884313964844,0.0003749944510740575
9,2.228808571934719,2.1912592472076415,1.334112890625,2.890278631591797,0.0003354991303616291
10,2.2084586616895936,2.273667649078369,1.3657202087402345,2.930025079345703,0.0002934059922223041
11,2.1773442882183973,2.1356006118774413,1.2599641967773438,2.7344549072265627,0.0002499940153582901
12,2.1562682703359233,2.1413277172088625,1.2756306243896485,2.7382992553710936,0.00020658225071908023
13,2.134382795749406,2.1367869232177736,1.2536937866210938,2.6955131958007814,0.0001644897428058238
14,2.1163999495247525,2.0650618659973143,1.2213813842773438,2.6705928955078124,0.0001249954511716284
15,2.1037955860223736,2.0940595699310305,1.1941888916015626,2.610633294677734,8.929938988272317e-05
16,2.0902252907712535,2.081279970169067,1.1731921417236328,2.5674338134765624,5.8486165698293033e-05
17,2.0791130761480416,2.0568045894622804,1.165225405883789,2.549053289794922,3.3492022842938015e-05
18,2.0659349066020014,2.069663335800171,1.1542119598388672,2.5201337646484374,1.507639569967161e-05
19,2.062623730063801,2.056289820098877,1.1503403411865234,2.51697138671875,3.798833780484951e-06
20,2.060871722470365,2.0632029468536377,1.1499434356689453,2.5199940307617186,2.0000975708385894e-09
