epoch,train_loss,val_loss,val_minADE,val_minFDE,lr
1,2.639148507325081,2.6784254020690916,2.0847018005371094,4.107634020996094,0.0002600301761880603
2,2.4237433527495664,2.2833832038879396,1.4928154174804686,3.0985030639648437,0.0004999999999024292
3,2.2976490302678965,2.207999538040161,1.3681529968261719,2.8585357971191407,0.0004962007404789059
4,2.230523249655318,2.2574353618621825,1.440582684326172,2.868641735839844,0.00048492082652401103
5,2.1869577988063846,2.174299029541016,1.357396337890625,2.7466189880371092,0.00046650299251535217
6,2.155255120907743,2.107382489776611,1.2199018432617188,2.503641259765625,0.00044150685501940856
7,2.1385103542365433,2.2219350200653074,1.2491679016113282,2.537251788330078,0.00041069190902533876
8,2.119931127579666,2.102464688873291,1.1578334075927734,2.3000265686035157,0.0003749944510740575
9,2.103351867177953,2.165353131484985,1.1645558685302735,2.370466809082031,0.0003354991303616291
10,2.083367548638465,2.058569953918457,1.1062434783935546,2.2734827026367186,0.0002934059922223041
11,2.0677284018524325,2.0892245357513426,1.109000146484375,2.2689424560546874,0.0002499940153582901
12,2.0472618767943063,2.0477773387908935,1.0268714218139647,2.0493535705566406,0.00020658225071908023
13,2.029211231970264,2.027986857795715,1.0311012847900392,2.0691018981933595,0.0001644897428058238
14,2.0060427779099532,1.9514778223037719,1.037179397583008,2.110251416015625,0.0001249954511716284
15,1.9798880341683882,1.9816470151901244,0.9887965377807617,1.9793185119628907,8.929938988272317e-05
16,1.9882625655515758,1.99682594165802,0.9728098449707031,1.949444366455078,5.8486165698293033e-05
17,1.979729513979271,2.005812526321411,0.9649393508911133,1.9200030517578126,3.3492022842938015e-05
18,1.9667309704104747,1.9967349880218506,0.9573686721801757,1.888132586669922,1.507639569967161e-05
19,1.9616897745630122,1.9859990480422973,0.9519512420654297,1.874967660522461,3.798833780484951e-06
20,1.9557691778166495,1.984526132774353,0.9515676651000976,1.886636636352539,2.0000975708385894e-09
