epoch,train_loss,val_loss,val_minADE,val_minFDE,lr
1,2.661681877874042,2.319360361099243,1.685391958618164,3.5512509765625,0.0002600301761880603
2,2.4132430563931733,2.296635891723633,1.5688125305175782,3.2667785949707033,0.0004999999999024292
3,2.290992934493536,2.4599608299255373,1.557195950317383,3.3530796508789065,0.0004962007404789059
4,2.241221849224139,2.2261176578521726,1.3823751892089844,2.8131387939453125,0.00048492082652401103
5,2.2033522488194235,2.215705319595337,1.3792418029785156,2.8039415283203124,0.00046650299251535217
6,2.185815094794696,2.145183865737915,1.2407657196044921,2.4912065368652345,0.00044150685501940856
7,2.1553566802572743,2.1088388191223144,1.199007733154297,2.4563317260742186,0.00041069190902533876
8,2.131741150505203,2.1160346458435058,1.1484621643066406,2.3582129760742188,0.0003749944510740575
9,2.111788275929972,2.172596174240112,1.1693353881835937,2.3250387573242186,0.0003354991303616291
10,2.098430475655109,2.076258603286743,1.1478772796630858,2.327934979248047,0.0002934059922223041
11,2.0766860289212627,2.0298848388671873,1.0870105499267577,2.24915107421875,0.0002499940153582901
12,2.05277240220997,2.029118945503235,1.0825880767822265,2.1965681396484373,0.00020658225071908023
13,2.0512899207710094,2.1531019416809083,1.1097348571777343,2.299981982421875,0.0001644897428058238
14,2.023163021078334,2.010421928024292,1.0128476806640625,2.08250078125,0.0001249954511716284
15,2.015915590628674,2.0172208194732666,1.005625991821289,2.05573427734375,8.929938988272317e-05
16,1.9972925030633661,2.0075254554748536,0.9948454467773438,2.023383410644531,5.8486165698293033e-05
17,1.9928026517257702,2.0040472425460814,0.9767002349853515,1.9702895935058593,3.3492022842938015e-05
18,1.9846537594835683,1.9823714939117432,0.9659045104980468,1.9633398864746094,1.507639569967161e-05
19,1.9835219784738618,1.9811264848709107,0.959723519897461,1.9434246337890626,3.798833780484951e-06
20,1.9809432602585153,1.9843577369689942,0.9576779998779297,1.9368156372070313,2.0000975708385894e-09
