epoch,train_loss,val_loss,val_minADE,val_minFDE,lr
1,7.831128193781926,3.356824475479126,3.43198251953125,6.690189038085937,0.0002806212545075032
2,2.9210230387174168,2.675774851989746,2.2913431274414062,5.204033129882813,0.0007612409008601602
3,2.694809519327604,2.7534479766845705,2.3338013671875,5.161541259765625,0.0009999999381871505
4,2.654579580339611,2.631268167114258,2.2614712768554686,4.94647470703125,0.0009965902678170067
5,2.6122833143951545,2.4909480140686036,1.9778283142089843,4.416619750976563,0.000986465093013809
6,2.3682070007691016,2.2923268627166746,1.8287743072509766,4.23367685546875,0.0009697613393971968
7,2.3934474969521546,2.4442085914611815,1.9903654724121094,4.338767980957031,0.0009467048965798149
8,2.301167504909711,2.2842153549194335,1.7475942565917968,4.00298271484375,0.0009176075633978117
9,2.274553766107967,2.3169133911132813,1.8006699462890625,4.020792932128907,0.0008828628313664677
10,2.2793462317214055,2.275572908401489,1.6947457946777345,3.91417109375,0.0008429405633824792
11,2.2812170136688104,2.2423721405029298,1.7182387908935546,3.865706774902344,0.0007983806396343219
12,2.2636326592192693,2.4325638999938963,1.8238251586914063,4.002805261230469,0.0007497856566488587
13,2.2788184229125323,2.297814852142334,1.7049462829589843,3.820203857421875,0.0006978127782070574
14,2.2567791648400135,2.252372713470459,1.6142194030761718,3.727293896484375,0.0006431648483312084
15,2.2331407421674485,2.2413387088775636,1.6406785766601562,3.8077724609375,0.000586580886525239
16,2.2350185457457843,2.255123726272583,1.6140138092041016,3.75689755859375,0.0005288260938037006
17,2.235904701754578,2.2269114387512206,1.645328125,3.726195428466797,0.0004706815046607356
18,2.212755722877307,2.179473236465454,1.5786395202636718,3.6560887451171875,0.0004129334249183968
19,2.2128765328317628,2.2321787738800047,1.6226073760986328,3.694618811035156,0.00035636279828929923
20,2.208072469784663,2.2143066078186036,1.5618618225097656,3.6379175659179688,0.0003017346454526028
21,2.208332222241622,2.1836549785614014,1.574898388671875,3.64074638671875,0.00024978771846170816
22,2.1916848833744345,2.2232238639831543,1.5516055847167969,3.604664660644531,0.0002012245103900509
23,2.1919351999576273,2.234912726211548,1.5524017944335937,3.600134393310547,0.00015670175531739945
24,2.1921644057983007,2.2092889083862306,1.5501064636230468,3.593546026611328,0.00011682154712804204
25,2.1798737563638606,2.2179973571777345,1.5368737335205078,3.562834747314453,8.212319722388578e-05
26,2.1882911069780335,2.2081105808258057,1.5257092498779297,3.5486323974609375,5.307594126292384e-05
27,2.181653233165415,2.206940552139282,1.5266847045898437,3.5512564086914065,3.007259355192902e-05
28,2.1778071283275247,2.2245298500061037,1.5322322631835938,3.5585955078125,1.342423490681993e-05
29,2.1818577764380693,2.2174814571380614,1.5271057647705077,3.5510363525390627,3.3560058182808997e-06
30,2.1792952494743543,2.217936373901367,1.5269634765625,3.551227258300781,4.061812849555363e-09
