epoch,train_loss,val_loss,val_minADE,val_minFDE,lr
1,4.838435963687734,2.717294079589844,2.6892737548828123,5.630728076171875,9.036562556673418e-05
2,2.7075861152420697,2.5934095542907714,2.3030241821289064,4.727735693359375,0.0002602014917552881
3,2.613444668105525,2.636851629638672,2.0837136352539063,4.251406872558594,0.0004299192071654473
4,2.606241948584206,2.479877811431885,2.025069171142578,4.2191270629882816,0.0004999999956537839
5,2.5536146204695744,2.423171915435791,1.944723635864258,3.977006201171875,0.0004990446111017139
6,2.492725627289878,2.6088960960388183,1.975951641845703,3.9862586669921876,0.0004961938542925159
7,2.4890848130751877,2.5484486854553223,1.9861947662353516,4.079501208496094,0.0004914694212068421
8,2.431238470423935,2.3299640480041504,1.700650668334961,3.608866552734375,0.000484907267633165
9,2.3768971310212064,2.2685810424804687,1.5789489929199219,3.288040234375,0.0004765573355225172
10,2.361646791553905,2.2875703674316408,1.5959908081054688,3.3234748779296877,0.0004664831729000875
11,2.3444712416738525,2.3398578216552735,1.6836338012695313,3.336352001953125,0.0004547614502263781
12,2.3696297470830445,2.3735735176086425,1.6254607666015626,3.414140759277344,0.0004414813768887058
13,2.313542299545728,2.2109734424591063,1.4524288635253906,3.0974294311523436,0.0004267440222638978
14,2.3147529361084995,2.4190685359954833,1.5783459075927735,3.3125563598632812,0.0004106615465193068
15,2.2690113487406673,2.238988536071777,1.506817852783203,3.131849853515625,0.00039335634700621356
16,2.2755486603476043,2.2316384559631346,1.4623910034179688,3.12320498046875,0.00037496012674207785
17,2.265864761976095,2.2711456008911135,1.476670458984375,3.1164016845703126,0.0003556128920710513
18,2.284763698649203,2.202359088897705,1.4156986572265624,2.969080505371094,0.00033546188713116004
19,2.262236933168183,2.235392317199707,1.4507659240722657,3.074424853515625,0.0003146604732375062
20,2.224907492215817,2.2738869518280027,1.4024078796386719,3.0433330383300783,0.00029336696171005744
21,2.2382872305874133,2.2538364696502686,1.3847966430664063,2.892469299316406,0.0002717434090289116
22,2.220775629974838,2.1669745513916014,1.3541396362304687,2.827413275146484,0.00024995438348663024
23,2.1945509671146035,2.1614170333862304,1.3147564819335937,2.757993524169922,0.00022816571272416347
24,2.180059759790062,2.1754375217437745,1.338201025390625,2.8111093872070314,0.00020654322168237266
25,2.1601241478043742,2.1899754287719726,1.3142773834228516,2.7200691040039064,0.000185251470574103
26,2.143024085678606,2.141108076095581,1.2761487243652343,2.651239892578125,0.00016445250248159926
27,2.1450102935489426,2.1944369361877443,1.3105318481445312,2.7404324584960937,0.00014430461011080565
28,2.1370048247850857,2.1604704998016357,1.2782659790039061,2.6160944213867188,0.00012496113108829407
29,2.130741039657185,2.1335375190734864,1.2553689819335938,2.586827825927734,0.00010656928096933752
30,2.108860961137674,2.129230654144287,1.224083743286133,2.5781354736328126,8.926903283864424e-05
31,2.091529079227366,2.1371721214294435,1.2243547485351562,2.5519587524414065,7.31920520306642e-05
32,2.0800930928980184,2.1057124198913573,1.2195619689941406,2.528865252685547,5.846069407689239e-05
33,2.066820985486365,2.1475344497680666,1.2178086364746095,2.563823962402344,4.5187073506394384e-05
34,2.060111572345098,2.130355530548096,1.2072091918945314,2.538716833496094,3.3472210586542786e-05
35,2.0624872866349344,2.124659969329834,1.199217025756836,2.507384045410156,2.340526249778525e-05
36,2.050690679723381,2.122380932998657,1.1968932586669923,2.5022794311523437,1.5062844793666786e-05
37,2.049301713450342,2.125171618270874,1.1916025085449218,2.4992432373046873,8.508448310205228e-06
38,2.0505264956726985,2.125247958755493,1.1933243347167968,2.499523449707031,3.791955962292422e-06
39,2.0482237132696004,2.122636520385742,1.1922510864257811,2.4918146423339844,9.492631045920739e-07
40,2.0428874423870673,2.1217970520019533,1.1916173614501953,2.4910064697265626,2.0043462160715312e-09
